2601,3,0
2112,3,1
2561,3,2
2371,3,0
2379,3,1
2617,3,2
1585,5,0
3284,5,1
3114,5,2
2981,5,3
909,5,4 
7142,5,0
7892,5,1
8569,5,2
2952,5,3
3327,5,4
7894,6,0
7612,6,1
3395,6,2
7841,6,3
3056,6,4
3187,6,5
2838,6,0
3126,6,1
1804,6,2
2983,6,3
1465,6,4
1694,6,5
1719,6,0
1622,6,1
1556,6,2
1604,6,3
3183,6,4
2990,6,5
1491,7,0
2918,7,1
3041,7,2
7581,7,3
7947,7,4
856,7,5
1491,7,6
8033,7,0
1631,7,1
801,7,2
184,7,3
567,7,4
777,7,5
280,7,6
17633,10,0
4932,10,1
7989,10,2
8343,10,3
8156,10,4
17552,10,5
489,10,6
1582,10,7
1655,10,8
12052,10,9
