8434,3,0
802,3,1
93,3,2
18576,3,0
18753,3,1
68,3,2
213,3,0
20015,3,1
3866,3,2
20027,5,0
20028,5,1
5661,5,2
1806,5,3
319,5,4
2209,5,0
1357,5,1
1480,5,2
1697,5,3
707,5,4
19080,5,0
18905,5,1
3850,5,2
1893,5,3
469,5,4
357,6,0
2226,6,1
3852,6,2
255,6,3
18695,6,4
5882,6,5
0,6,0
20023,6,1
0,6,2
20024,6,3
0,6,4
20030,6,5
1042,6,0
775,6,1
3023,6,2
782,6,3
1141,6,4
20022,6,5
0,6,0
201,6,1
1,6,2
177,6,3
1,6,4
383,6,5
468,7,0
2180,7,1
0,7,2
289,7,3
1,7,4
532,7,5
9,7,6
2873,10,0
2773,10,1 
1733,10,2 
1492,10,3 
528,10,4  
18995,10,5
2378,10,6
261,10,7
19172,10,8
290,10,9
8845,10,0
671,10,1
1743,10,2
19320,10,3
1338,10,4
1820,10,5
543,10,6
3892,10,7
2257,10,8
441,10,9
