2500,3,0
595,3,1
772,3,2
381,3,0
20011,3,1
324,3,2
540,3,0
1387,3,1
1022,3,2
1400,5,0
1441,5,1
1075,5,2
1126,5,3
1484,5,4
334,5,0
8516,5,1
84,5,2
16491,5,3
618,5,4
5487,6,0
327,6,1  
8718,6,2 
126,6,3  
18776,6,4
155,6,5
411,6,0
3864,6,1
446,6,2
20072,6,3
182,6,4
3896,6,5
317,7,0
652,7,1
5173,7,2
492,7,3
251,7,4
299,7,5
20022,7,6
408,7,0
17412,7,1
528,7,2
1425,7,3
442,7,4
1769,7,5
430,7,6
345,10,0
1107,10,1
1427,10,2
1179,10,3
1154,10,4
665,10,5
304,10,6
2911,10,7
213,10,8
5397,10,9
853,10,0
1363,10,1
608,10,2
1324,10,3
82,10,4
20034,10,5
210,10,6
492,10,7
8469,10,8
539,10,9
135,10,0
8924,10,1
85,10,2
20110,10,3
47,10,4
18919,10,5
40,10,6
20123,10,7
44,10,8
19115,10,9
