1030, 3
1829, 3
2005, 3
1849, 3
1440, 3
1225, 3
1710, 3
1662, 3
1302, 3
1086, 5
1080, 5
1062, 5
1066, 5
1062, 5
1435, 5
879, 5
1127, 5
1125, 5
1067, 5
906, 5
1080, 5
1502, 5
891, 5
867, 5
836, 5
1294, 5
857, 5
894, 5
1692, 5
0, 6
20009, 6
0, 6
20009, 6
0, 6
20009, 6
2015, 6
375, 6
1470, 6
398, 6
2015, 6
327, 6
72, 6
6063, 6
77, 6
4520, 6
74, 6
6063, 6
65, 6
19263, 6
28, 6
19257, 6
68, 6
9146, 6
700, 7
1444, 7
563, 7
1364, 7
874, 7
1025, 7
1100, 7
731, 7
1199, 7
883, 7
1177, 7
844, 7
1027, 7
1153, 7
690, 7
2160, 7
377, 7
2223, 7
521, 7
1458, 7
848, 7
15925, 10
35, 10
11944, 10
48, 10
11761, 10
52, 10
7777, 10
52, 10
11743, 10
48, 10
22, 10
19397, 10
56, 10
9271, 10
59, 10
19258, 10
28, 10
20008, 10
0, 10
20009, 10
9215, 10
61, 10
19177, 10
63, 10
19253, 10
29, 10
19242, 10
37, 10
19031, 10
102, 10
1230, 10
651, 10
804, 10
604, 10
1366, 10
363, 10
1843, 10
490, 10
1585, 10
482, 10
2117, 10
346, 10
2652, 10
243, 10
4217, 10
245, 10
2597, 10
366, 10
1724, 10
407, 10
3324, 10
157, 10
3307, 10
190, 10
3161, 10
297, 10
2526, 10
279, 10
2536, 10
261, 10
